mesh_id,trait_portal,similarity,source,subsource,n_rows
"['D003409', 'D007037']",Familial_thyroid_dyshormonogenesis_Orphanet_95716,0.557,pigean,orphanet,4
"['D004310', 'D006330', 'D006344', 'D006345', 'D007037', 'D010179', 'D013771', 'D018636']",Conotruncal_heart_malformations_Orphanet_2445,0.557,pigean,orphanet,26
"['D002277', 'D004476', 'D005199', 'D006130', 'D009386', 'D009634', 'D010190', 'D010580', 'D016864', 'D056735']",Familial_pancreatic_carcinoma_Orphanet_1333,0.555,pigean,orphanet,35
['D010051'],OvarianCancer,0.555,pigean,portal,66
['D010051'],gcat_trait_ovarian_carcinoma,0.555,pigean,gcat,34
['D010051'],gcat_trait_ovarian_mucinous_adenocarcinoma,0.555,pigean,gcat,18
['D010911'],Pituitary_tumor_Orphanet_304055,0.555,pigean,orphanet,53
['D010051'],gcat_trait_ovarian_serous_carcinoma,0.555,pigean,gcat,23
['D010911'],Pituitary_adenoma_Orphanet_99408,0.555,pigean,orphanet,51
['D010051'],gcat_trait_malignant_epithelial_tumor_of_ovary,0.555,pigean,gcat,25
['D010190'],PancreaticCancer,0.555,pigean,portal,60
['D010190'],Rare_carcinoma_of_pancreas_Orphanet_217074,0.555,pigean,orphanet,36
['D010190'],gcat_trait_pancreatic_carcinoma,0.555,pigean,gcat,28
['D013964'],gcat_trait_differentiated_thyroid_carcinoma,0.552,pigean,gcat,27
['D013964'],ThyroidCancer,0.552,pigean,portal,65
['D013964'],Rare_thyroid_tumor_Orphanet_100087,0.552,pigean,orphanet,23
['D013964'],Rare_thyroid_carcinoma_Orphanet_100088,0.552,pigean,orphanet,22
['D013964'],gcat_trait_thyroid_cancer,0.552,pigean,gcat,17
['D013964'],gcat_trait_thyroid_carcinoma,0.552,pigean,gcat,15
"['D006627', 'D010673', 'D013964', 'D018761']",Hirschsprung_disease_Orphanet_388,0.552,pigean,orphanet,27
"['D005925', 'D006623', 'D008661', 'D009386', 'D010235', 'D010673', 'D011086', 'D013964', 'D018761', 'D046152']",Hereditary_pheochromocytomaparaganglioma_Orphanet_29072,0.552,pigean,orphanet,63
['D006111'],Graves,0.55,pigean,portal,55
