mesh_id,trait_portal,similarity,source,subsource,n_rows
['D007333'],ISenBMI,0.3987835049629211,pigean,portal,75
['D007333'],AIRadjSI,0.3982430398464203,pigean,portal,56
"['D050171', 'D024821']",gcat_trait_metabolic_syndrome,0.3972548246383667,pigean,gcat,119
['none'],PEAKadjSI,0.3958349227905273,pigean,portal,57
['none'],Insulin_120_min_glipizide,0.3949941396713257,pigean,portal,58
['none'],Peak_insulin_glipizide_adjusted_baseline_insulin,0.3946104049682617,pigean,portal,68
['none'],Insulin_30_min_glipizide,0.3940647840499878,pigean,portal,79
['D000273'],PancreasFat,0.3940615355968475,pigean,portal,66
['D000078790'],ISR,0.3919660449028015,pigean,portal,66
['D003930'],PDRvNoPDRwDoD,0.3899499177932739,pigean,portal,79
['D001714'],BIP2,0.3894014954566955,pigean,portal,49
['D058456'],gcat_trait_macular_telangiectasia_type_2,0.386877566576004,pigean,gcat,26
['D003930'],PDRvNoDR,0.3860011994838714,pigean,portal,80
['D000361'],Agammaglobulinemia_Orphanet_183669,0.3843215107917785,pigean,orphanet,24
['D003924'],gcat_trait_insulin_response_measurement,0.3835661709308624,pigean,gcat,12
['D003930'],NPDRvNoDR,0.3835100531578064,pigean,portal,76
['none'],BSandFG,0.3832986950874328,pigean,portal,116
['D002385'],Narcolepsy_type_1_Orphanet_2073,0.3823117911815643,pigean,orphanet,20
['D009290'],NT1,0.3823117911815643,pigean,portal,73
['none'],Insulin_90_min_glipizide,0.3812834322452545,pigean,portal,57
['D007333'],AIRadjBMInSI,0.3810236752033233,pigean,portal,54
['none'],PEAKadjBMInSI,0.3810136914253235,pigean,portal,65
['none'],Glucose_30_min_glipizide_adjusted_baseline_glucose,0.3803989291191101,pigean,portal,72
['D040641'],gcat_trait_insulin_like_growth_factor_measurement,0.380374014377594,pigean,gcat,48
['D000078790'],Ins30adjBMI,0.3802143335342407,pigean,portal,68
['none'],Insulin_60_min_glipizide,0.3797140717506408,pigean,portal,68
['none'],Change_in_fasting_glucose_after_metformin_adjusted_baseline_glucose,0.3777840733528137,pigean,portal,75
['none'],AUC_insulin_OGTT_metformin,0.3776136040687561,pigean,portal,56
['D007333'],CIRadjISI,0.3766613006591797,pigean,portal,68
['none'],Glucose_120_min_glipizide_adjusted_baseline_glucose,0.3752734661102295,pigean,portal,58
['D044882'],gcat_trait_peak_insulin_response_measurement,0.372274100780487,pigean,gcat,14
['none'],Time_to_glucose_trough_glipizide,0.3692783713340759,pigean,portal,65
"['D003550', 'D015319', 'D050500', 'D052801']",Hereditary_chronic_pancreatitis_Orphanet_676,0.3685735762119293,pigean,orphanet,22
['D007333'],CIR,0.3683926165103912,pigean,portal,67
['none'],Insulin_180_min_glipizide,0.3679204285144806,pigean,portal,63
['D007333'],ISI,0.3677128553390503,pigean,portal,68
"['D001786', 'D005947']",gcat_trait_glucose_measurement,0.3608816266059875,pigean,gcat,97
['D005951'],IFC,0.3607326745986938,pigean,portal,58
['D006946'],gcat_trait_fasting_blood_insulin_measurement,0.358152836561203,pigean,gcat,33
['D015415'],gcat_trait_serum_ST2_measurement,0.3578041493892669,pigean,gcat,5
['D000078790'],ISRadjBMI,0.3577284812927246,pigean,portal,63
['D001786'],FG,0.3575170040130615,pigean,portal,112
['D003930'],PDRvNoPDR,0.3571703433990478,pigean,portal,60
['none'],Glucose_90_min_glipizide_adjusted_baseline_glucose,0.3558776378631592,pigean,portal,66
['D007334'],IGF1,0.355496734380722,pigean,portal,99
['none'],Glucose_60_min_glipizide_adjusted_baseline_glucose,0.3545193374156952,pigean,portal,68
"['D005951', 'D015992']",IFCadjBMI,0.3539119064807892,pigean,portal,61
"['D000361', 'D004393', 'D006130', 'D014923', 'D040181']",Isolated_agammaglobulinemia_Orphanet_229717,0.3534933924674988,pigean,orphanet,20
['D015992'],BMI2yrs,0.351719319820404,pigean,portal,47
['none'],Glucose_180_min_glipizide_adjusted_baseline_glucose,0.3505125343799591,pigean,portal,64
['D006949'],gcat_trait_hyperlipidemia,0.3505007028579712,pigean,gcat,35
"['D010195', 'D050500']",gcat_trait_pancreatitis,0.3469895720481872,pigean,gcat,8
['D006453'],Hemoglobinopathy_Orphanet_68364,0.3438438177108764,pigean,orphanet,15
"['D000078790', 'D007328']",FIadjBMI,0.3436665534973144,pigean,portal,102
"['D000361', 'D006130', 'D014923']",Autosomal_agammaglobulinemia_Orphanet_33110,0.3413828313350677,pigean,orphanet,19
['D050171'],Dyslipid,0.3409898281097412,pigean,portal,106
"['D010179', 'D000375']",PanAge,0.3391095995903015,pigean,portal,72
['D065626'],gcat_trait_nonalcoholic_fatty_liver_disease,0.3377569615840912,pigean,gcat,64
['D017098'],gcat_trait_selective_IgA_deficiency_disease,0.3366156220436096,pigean,gcat,31
['D006946'],gcat_trait_BMIadjusted_fasting_blood_insulin_measurement,0.3357600271701813,pigean,gcat,10
['D002318'],AnyCVD_rec,0.3349401950836181,pigean,portal,70
['D019512'],gcat_trait_alcoholic_pancreatitis,0.3337597846984863,pigean,gcat,11
['D006008'],Glycogen_storage_disease_Orphanet_79201,0.3337469398975372,pigean,orphanet,70
['D002318'],AnyCVD_het,0.3329861164093017,pigean,portal,69
['D007589'],HyperIgE_syndrome_Orphanet_331223,0.3283250331878662,pigean,orphanet,41
['D000078790'],Incr30,0.3280362486839294,pigean,portal,68
['D044882'],gcat_trait_BMIadjusted_fasting_blood_glucose_measurement,0.3269170224666595,pigean,gcat,13
['D033461'],gcat_trait_hyperuricemia,0.3268624544143677,pigean,gcat,22
"['D003638', 'D006319', 'D052245']",Usher_syndrome_type_1_Orphanet_231169,0.3260606527328491,pigean,orphanet,15
['D001786'],FGovertime,0.3259101510047912,pigean,portal,59
"['D006943', 'D044882']",gcat_trait_fasting_blood_glucose_measurement,0.3256189525127411,pigean,gcat,82
['D014280'],TG,0.3199768364429474,pigean,portal,122
['D016491'],PVD_add,0.3185229897499084,pigean,portal,70
['D002318'],AnyCVD_add,0.3177170157432556,pigean,portal,71
['D016491'],PVD_het,0.3164713978767395,pigean,portal,80
['D050171'],Dyslipid_dom,0.3160436749458313,pigean,portal,85
['D008076'],HDL2chol,0.3159651458263397,pigean,portal,78
['none'],BSadjFastingTime,0.3152676820755005,pigean,portal,122
