mesh_id,indication_mesh_id,indication_mesh_term,sim_ontology,sim_semantic,sim_gap,bucket,sample_genes_ontology_side,sample_genes_semantic_side
"['D000072661', 'D002526', 'D003398', 'D004613', 'D012162', 'D012174', 'D015418', 'D020788', 'D052177', 'D057130']",D012174,Retinitis Pigmentosa,1.0,0.1148929595947265,0.8851070404052735,ontology_only,"ABCA4,NR2E3,NXNL1,PDE6B,PRPF31","ABCA4,NR2E3,NXNL1,PDE6B,PRPF31"
"['D009901', 'D005901']",D029242,"Optic Atrophy, Hereditary, Leber",0.853,-0.0313579551875591,0.8843579551875591,ontology_only,GDNF,GDNF
['D057174'],D000690,Amyotrophic Lateral Sclerosis,0.937,0.052964299917221,0.8840357000827791,ontology_only,"ALOX15,ATXN2,CSF3,CTF1,FUS","ALOX15,ATXN2,CSF3,CTF1,FUS"
['D008659'],D008659,Metabolic Diseases,1.0,0.1162409782409668,0.8837590217590332,ontology_only,"ACLY,ALOX15,APOE,CD300LB,CD40","ACLY,ALOX15,APOE,CD300LB,CD40"
"['D000130', 'D003483', 'D004392']",D004392,Dwarfism,1.0,0.1163451075553894,0.8836548924446106,ontology_only,"FGF2,FGFR1,FGFR2,FGFR3","FGF2,FGFR1,FGFR2,FGFR3"
"['D000073376', 'D002607', 'D002658', 'D008607', 'D009134', 'D013036', 'D020820', 'D065886']",D020820,Dyskinesias,1.0,0.1169920787215232,0.8830079212784768,ontology_only,"ABAT,ACHE,ADORA1,ADORA2A,ADRA2A","ABAT,ACHE,ADORA1,ADORA2A,ADRA2A"
"['D002607', 'D005923', 'D006551', 'D006849', 'D009396', 'D009404', 'D014718', 'D020371', 'D030321', 'D040181', 'D052159']",D009396,Wilms Tumor,1.0,0.1171710044145584,0.8828289955854416,ontology_only,"TOP2A,WT1","TOP2A,WT1"
"['D000073376', 'D001259', 'D002524', 'D002607', 'D002658', 'D003294', 'D004421', 'D004827', 'D004831', 'D006429', 'D006963', 'D008607', 'D008881', 'D012640', 'D013036', 'D020754', 'D054463', 'D060825', 'D065768', 'D065886']",D002032,Bulimia,0.993,0.1103656068444252,0.8826343931555748,ontology_only,"HTR2C,OPRK1,OPRM1,SLC6A4","HTR2C,OPRK1,OPRM1,SLC6A4"
"['D010022', 'D017496', 'D020821']",D014820,Vitiligo,0.925,0.0434287376701831,0.881571262329817,ontology_only,MC1R,MC1R
"['D000073376', 'D002607', 'D002658', 'D008607', 'D009134', 'D013036', 'D020820', 'D065886']",D002607,Charcot-Marie-Tooth Disease,1.0,0.1213556602597236,0.8786443397402764,ontology_only,"GABBR1,HDAC6,NTRK2,TRPA1,TRPV1","GABBR1,HDAC6,NTRK2,TRPA1,TRPV1"
